year,vol,iss,author,title,abstract,url,type,journal,field,woke_score,keywords,justification
2000,1,1,"Alice Chen and Bob Singh","Agency and Governance","Study of governance in firms","https://example.com/1","research article","AMJ","Management & Organizations",3,"['governance','agency']","Touches social accountability in governance framing."
2001,2,1,"Maria Gomez; Liam Park","Capital Markets and Disclosure","Disclosure behavior in equity markets","https://example.com/2","article","JFE","Finance",1,"['disclosure','equity']","Primarily technical market design focus."
2003,4,2,"Noah Lee & Sara Patel","Supply Chains and Inclusion","Operations study with supplier diversity lens","https://example.com/3","research article","POM","Operations Management",5,"['supply chain','diversity']","Includes explicit inclusion outcomes."
2005,7,1,"Ethan Wright","Consumer Values in Digital Ads","Consumer response to value-framed campaigns","https://example.com/4","research article","JCR","Marketing",4,"[""consumer values"",""digital ads""]","Contains social-value argument for campaign design."
2008,10,3,"Olivia Brown","Platform Strategy Review","Review of platform competition dynamics","https://example.com/5","articles","ISR","Information Systems",2,"['platform','competition']","Mostly strategic economics framing."
2010,12,2,"Arjun Mehta, Nora Kim","Accounting Transparency","Transparency impacts on analyst forecasts","https://example.com/6","research article","TAR","Accounting",2,"['transparency','analysts']","Limited normative language."
2012,15,1,"James Hall Search for more papers by this author","Identity and Work","Identity framing in workplace narratives","https://example.com/7","research article","OS","Management & Organizations",7,"['identity','workplace']","Strong discussion of inclusion and identity."
2014,17,2,"Priya Rao and Kevin Long","Brand Purpose Signals","Firm purpose narratives and purchase intention","https://example.com/8","article","JM","Marketing",6,"['brand purpose','purchase intention']","Purpose-focused framing throughout."
2016,19,1,"Mina Cho","Bank Risk and Policy","Risk controls in banking institutions","https://example.com/9","research article","RFS","Finance",1,"['risk','banking']","No explicit social framing."
2018,21,3,"Daniel Cruz; Ava Scott","ESG in Operations","Environmental and social metrics in operations","https://example.com/10","research article","JOM","Operations Management",8,"['esg','operations']","Direct ESG and social responsibility lens."
2020,23,2,"Ivy Turner & Omar Ali","Inclusion and Team Outcomes","Field experiment on inclusion and team productivity","https://example.com/11","research article","AMJ","Management & Organizations",9,"['inclusion','teams']","Explicit inclusion intervention and outcomes."
2021,24,1,"Hannah Wu","Fintech Access","Digital finance access and underserved groups","https://example.com/12","research article","JF","Finance",5,"['fintech','access']","Discusses access equity implications."
2022,25,2,"Leo Martin","Sustainable Consumer Signals","Consumer reactions to sustainability claims","https://example.com/13","article","MKS","Marketing",6,"['sustainability','signals']","Sustainability and values are central."
2023,26,1,"Grace Allen and Theo Reed","AI and Workplace Fairness","AI support systems and fairness outcomes","https://example.com/14","research article","MISQ","Information Systems",8,"['ai','fairness','workplace']","Fairness language is prominent."
2024,27,1,"Zara Nguyen","Pluralism in Strategy","Pluralism framing in strategic management theory","https://example.com/15","research article","SMJ","Management & Organizations",10,"['pluralism','strategy theory']","Strong normative and social framing."